indicator,countryCode,country,value2019,valueLow2019,valueHigh2019,valueMain2019,value2010,valueLow2010,valueHigh2010,valueMain2010
Concentrations of fine particulate matter (PM2.5),BHS,Bahamas,5.2,3.77,7.05,5.20 [3.77-7.05],4.97,3.48,7.04,4.97 [3.48-7.04]
,FIN,Finland,5.47,5.16,5.76,5.47 [5.16-5.76],7.07,6.66,7.48,7.07 [6.66-7.48]
,ISL,Iceland,5.79,5.11,6.46,5.79 [5.11-6.46],6.91,6.09,7.72,6.91 [6.09-7.72]
,SWE,Sweden,5.96,5.7,6.22,5.96 [5.70-6.22],7.52,7.17,7.88,7.52 [7.17-7.88]
,NOR,Norway,6.3,5.95,6.63,6.30 [5.95-6.63],7.86,7.44,8.26,7.86 [7.44-8.26]
,EST,Estonia,6.35,5.83,6.94,6.35 [5.83-6.94],8.47,7.72,9.27,8.47 [7.72-9.27]
,CAN,Canada,6.39,6.21,6.59,6.39 [6.21-6.59],7.76,7.55,7.96,7.76 [7.55-7.96]
,NIU,Niue,6.74,3.15,13.16,6.74 [3.15-13.16],6.44,3.17,14.54,6.44 [3.17-14.54]
,TUV,Tuvalu,6.81,2.59,13.49,6.81 [2.59-13.49],6.76,2.96,13.29,6.76 [2.96-13.29]
,BRN,Brunei Darussalam,6.86,5.76,8.32,6.86 [5.76-8.32],8.33,7.06,10.06,8.33 [7.06-10.06]
,USA,United States of America,7.18,7.07,7.28,7.18 [7.07-7.28],9.29,9.14,9.42,9.29 [9.14-9.42]
,MHL,Marshall Islands,7.21,2.62,15.2,7.21 [2.62-15.20],7.27,2.93,15.64,7.27 [2.93-15.64]
,PRT,Portugal,7.34,7.1,7.57,7.34 [7.10-7.57],10.55,10.15,10.87,10.55 [10.15-10.87]
,FJI,Fiji,7.36,3.69,11.78,7.36 [3.69-11.78],7.19,3.79,12.39,7.19 [3.79-12.39]
,NRU,Nauru,7.4,2.89,14.43,7.40 [2.89-14.43],7.5,3.03,14.98,7.50 [3.03-14.98]
,TON,Tonga,7.52,4.22,12.61,7.52 [4.22-12.61],7.14,4.17,12.42,7.14 [4.17-12.42]
,DOM,Dominican Republic,7.59,4.67,11.52,7.59 [4.67-11.52],7.52,4.63,11.55,7.52 [4.63-11.55]
,KIR,Kiribati,7.62,3.14,16.26,7.62 [3.14-16.26],7.6,3.15,15.59,7.60 [3.15-15.59]
,WSM,Samoa,7.78,2.67,17.69,7.78 [2.67-17.69],7.4,2.84,17.03,7.40 [2.84-17.03]
,FSM,Micronesia,7.79,3.27,15.61,7.79 [3.27-15.61],7.55,3.1,17.84,7.55 [3.10-17.84]
,COK,Cook Islands,7.8,3.25,16.85,7.80 [3.25-16.85],7.46,2.82,18.26,7.46 [2.82-18.26]
,PLW,Palau,7.82,2.93,17.42,7.82 [2.93-17.42],7.23,2.86,17.57,7.23 [2.86-17.57]
,SLB,Solomon Islands,7.83,2.86,15,7.83 [2.86-15.00],7.42,2.34,14.43,7.42 [2.34-14.43]
,KNA,Saint Kitts and Nevis,8.05,6.19,10.41,8.05 [6.19-10.41],7.93,5.55,10.53,7.93 [5.55-10.53]
,IRL,Ireland,8.2,7.66,8.65,8.20 [7.66-8.65],9.9,9.25,10.39,9.90 [9.25-10.39]
