country,code,y,x,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Brazil,BR,-14.235004,-51.92528,87,87,86,85,84,84,83,82,81,80,80,79,79,79,79,78,78,78,78,77,77,77,76
Canada,CA,56.130366,-106.346771,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98
Democratic Republic of the Congo,CD,-4.038333,21.758664,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Central African Republic,CF,6.611111,20.939444,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9
Chile,CL,-35.675147,-71.542969,99,99,99,99,99,99,99,98,98,98,97,97,96,96,96,95,95,94,94,93,93,93,92
Colombia,CO,4.570868,-74.297333,74,74,73,73,73,73,73,73,72,72,72,72,71,71,71,71,70,70,70,69,69,69,69
Germany,DE,51.165691,10.451526,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,DO,18.735693,-70.162651,45,45,45,45,45,44,44,44,44,44,44,44,44,43,43,43,43,43,43,42,42,42,42
Algeria,DZ,28.033886,1.659626,71,71,72,74,75,76,76,77,77,76,76,75,75,75,74,74,73,73,72,72,71,71,70
Spain,ES,40.463667,-3.74922,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99
Ethiopia,ET,9.145,40.489673,13,13,12,12,11,11,10,10,9,9,9,8,8,7,7,7,6,6,6,6,6,5,5
Finland,FI,61.92411,25.748151,100,100,100,100,100,100,100,100,99,99,99,98,98,97,97,97,96,96,95,95,95,94,94
Fiji,FJ,-16.578193,179.414413,42,42,42,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,39,39,39
France,FR,46.227638,2.213749,100,100,100,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,97,97,97,97,97
United Kingdom,GB,55.378051,-3.435973,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,GE,42.315407,43.356892,69,69,69,68,68,68,68,67,67,67,67,66,66,66,66,65,65,65,65,64,64,64,64
Ghana,GH,7.946527,-1.023194,44,44,42,40,39,37,35,33,32,30,28,26,25,23,22,20,19,17,16,14,13,12,12
Honduras,HN,15.199999,-86.241905,65,65,64,64,64,63,63,62,61,59,57,56,54,52,51,49,48,46,45,44,42,42,42
Indonesia,ID,-0.789275,113.921327,30,30,30,29,29,29,29,28,28,28,27,27,27,26,26,26,26,25,25,25,24,24,24
Iran,IR,32.427908,53.688046,94,94,94,94,94,94,93,93,93,93,93,93,92,92,92,92,92,91,91,91,91,91,90
Iceland,IS,64.963051,-19.020835,100,100,100,100,100,99,99,98,98,97,97,96,96,95,94,94,93,93,92,92,91,91,90
Italy,IT,41.87194,12.56738,93,93,93,93,93,94,94,94,95,95,95,95,95,96,96,96,96,96,96,95,95,95,95
Jordan,JO,30.585164,36.238414,86,86,86,84,81,79,77,75,73,70,68,66,64,62,60,58,56,53,54,54,53,53,53
Japan,JP,36.204824,138.252924,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Kyrgyzstan,KG,41.20438,74.766098,76,76,76,74,72,71,69,67,65,63,62,60,58,56,54,52,50,48,47,46,46,46,46
Kiribati,KI,-3.370417,-168.734039,14,14,14,14,14,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,10,10,10
South Korea,KR,35.907757,127.766922,99,99,99,99,99,99,99,99,98,98,98,98,98,98,97,97,97,97,97,97,97,97,97
Sri Lanka,LK,7.873054,80.771797,47,47,48,48,48,48,48,47,47,47,47,46,46,46,46,46,46,45,45,45,45,45,45
Lesotho,LS,-29.609988,28.233608,28,28,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,12,11,10,9
Morocco,MA,31.791702,-7.09262,75,75,74,74,73,72,70,68,66,63,59,56,54,51,48,45,44,44,43,43,42,42,42
Madagascar,MG,-18.766947,46.869107,22,21,21,20,19,19,18,17,17,16,15,14,14,13,12,11,11,10,9,9,8,7,7
